"Date","Section","CrimeType"
"2016-08-05","Sec 2","Burglary"
"2019-04-14","Sec 5","Homicide"
"2017-12-23","Sec 3","Larceny"
"2018-10-09","Sec 1","Burglary"
"2017-03-04","Sec 3","Larceny"
"2018-03-08","Sec 1","Burglary"
"2017-03-05","Sec 2","Larceny"
"2019-05-01","Sec 1","Burglary"
"2016-02-22","Sec 4","Larceny"
"2016-12-17","Sec 2","Larceny"
"2016-07-15","Sec 4","Larceny"
"2018-11-25","Sec 2","MVT"
"2017-05-18","Sec 3","Aggravated Assault"
"2017-06-27","Sec 1","Larceny"
"2018-03-12","Sec 2","Aggravated Assault"
"2019-05-12","Sec 5","MVT"
"2018-01-13","Sec 1","Larceny"
"2018-11-08","Sec 4","Aggravated Assault"
"2018-12-03","Sec 2","Aggravated Assault"
"2018-07-12","Sec 3","Larceny"
"2019-04-19","Sec 3","Burglary"
"2019-08-10","Sec 3","Robbery"
"2018-05-23","Sec 1","Larceny"
"2019-12-16","Sec 6","Burglary"
"2018-12-09","Sec 3","Aggravated Assault"
"2018-12-14","Sec 3","Aggravated Assault"
"2016-05-20","Sec 4","Aggravated Assault"
"2018-01-21","Sec 4","Burglary"
"2019-05-09","Sec 4","Aggravated Assault"
"2016-05-21","Sec 1","Burglary"
"2016-03-26","Sec 4","Burglary"
"2017-07-14","Sec 2","Larceny"
"2018-02-17","Sec 3","Larceny"
"2018-01-04","Sec 3","Larceny"
"2019-01-25","Sec 1","Larceny"
"2016-04-07","Sec 3","Larceny"
"2016-09-15","Sec 4","Aggravated Assault"
"2019-08-10","Sec 2","Robbery"
"2018-09-16","Sec 2","Larceny"
"2019-05-12","Sec 2","Larceny"
"2018-01-23","Sec 5","Aggravated Assault"
"2019-03-17","Sec 1","Larceny"
"2018-08-31","Sec 4","Burglary"
"2018-11-17","Sec 2","Larceny"
"2017-03-05","Sec 3","Larceny"
"2016-05-24","Sec 1","Larceny"
"2019-08-09","Sec 5","Larceny"
"2018-05-16","Sec 4","MVT"
"2019-05-04","Sec 1","Larceny"
"2016-06-30","Sec 1","Robbery"
"2017-11-21","Sec 1","Robbery"
"2019-03-06","Sec 1","Larceny"
"2017-10-21","Sec 4","Burglary"
"2019-03-09","Sec 2","Larceny"
"2017-09-24","Sec 1","Aggravated Assault"
"2019-07-13","Sec 2","MVT"
"2017-09-27","Sec 2","Aggravated Assault"
"2019-05-03","Sec 2","Larceny"
"2018-04-20","Sec 3","MVT"
"2019-09-28","Sec 1","Burglary"
"2018-08-02","Sec 1","Aggravated Assault"
"2019-01-25","Sec 3","Burglary"
"2017-11-01","Sec 3","MVT"
"2019-06-03","Sec 2","Robbery"
"2018-03-29","Sec 3","Larceny"
"2017-12-15","Sec 6","Larceny"
"2018-07-24","Sec 3","Larceny"
"2019-07-30","Sec 3","Homicide"
"2017-04-27","Sec 5","Larceny"
"2017-12-01","Sec 2","Burglary"
"2018-05-10","Sec 3","Larceny"
"2017-02-17","Sec 2","Aggravated Assault"
"2017-08-22","Sec 4","Robbery"
"2019-04-28","Sec 1","Larceny"
"2017-02-26","Sec 1","Larceny"
"2019-03-03","Sec 4","Larceny"
"2017-11-10","Sec 2","Robbery"
"2017-05-03","Sec 2","Larceny"
"2019-12-09","Sec 2","Larceny"
"2016-08-04","Sec 5","Burglary"
"2018-02-01","Sec 5","Larceny"
"2017-12-06","Sec 4","Homicide"
"2019-08-26","Sec 1","Aggravated Assault"
"2017-03-11","Sec 2","MVT"
"2019-04-15","Sec 1","Larceny"
"2018-01-24","Sec 2","Robbery"
"2016-05-02","Sec 2","Aggravated Assault"
"2017-05-25","Sec 3","MVT"
"2018-01-10","Sec 1","Larceny"
"2016-01-23","Sec 6","Larceny"
"2018-05-12","Sec 2","Larceny"
"2018-02-26","Sec 2","Robbery"
"2016-10-10","Sec 3","Aggravated Assault"
"2019-11-09","Sec 4","MVT"
"2018-06-11","Sec 1","MVT"
"2017-12-29","Sec 4","Burglary"
"2019-08-16","Sec 1","MVT"
"2018-10-08","Sec 5","Burglary"
"2017-05-22","Sec 2","MVT"
"2019-01-05","Sec 2","Robbery"
"2017-09-03","Sec 4","Burglary"
"2018-10-26","Sec 2","Larceny"
"2018-10-13","Sec 3","Larceny"
"2019-04-18","Sec 4","Larceny"
"2018-01-02","Sec 2","Robbery"
"2018-02-11","Sec 3","Larceny"
"2016-08-01","Sec 1","Robbery"
"2017-10-02","Sec 3","Larceny"
"2018-07-11","Sec 1","Larceny"
"2017-02-10","Sec 6","Aggravated Assault"
"2016-07-10","Sec 1","Larceny"
"2016-01-18","Sec 2","MVT"
"2016-08-31","Sec 1","Robbery"
"2017-06-17","Sec 5","Aggravated Assault"
"2018-06-04","Sec 1","Larceny"
"2018-06-28","Sec 5","Larceny"
"2018-09-18","Sec 2","Larceny"
"2017-03-13","Sec 5","MVT"
"2019-11-17","Sec 2","Homicide"
"2017-05-11","Sec 3","Aggravated Assault"
"2019-07-17","Sec 2","Burglary"
"2017-08-14","Sec 3","Larceny"
"2019-05-16","Sec 3","Larceny"
"2018-08-29","Sec 4","Burglary"
"2017-09-14","Sec 1","Aggravated Assault"
"2017-12-07","Sec 1","MVT"
"2016-12-05","Sec 4","Larceny"
"2019-05-09","Sec 1","Larceny"
"2019-11-23","Sec 1","Larceny"
"2016-06-19","Sec 4","Larceny"
"2017-10-20","Sec 3","Burglary"
"2016-02-04","Sec 1","Burglary"
"2016-10-18","Sec 3","Larceny"
"2017-02-01","Sec 4","Burglary"
"2019-04-20","Sec 1","Larceny"
"2016-07-16","Sec 1","Larceny"
"2018-03-12","Sec 1","Larceny"
"2017-02-15","Sec 5","Aggravated Assault"
"2019-05-31","Sec 6","Larceny"
"2017-12-17","Sec 4","Burglary"
"2018-06-30","Sec 2","Larceny"
"2018-10-09","Sec 1","Robbery"
"2016-03-31","Sec 3","MVT"
"2016-03-05","Sec 1","Larceny"
"2016-10-23","Sec 4","Robbery"
"2018-03-01","Sec 3","Larceny"
"2016-10-28","Sec 1","Aggravated Assault"
"2017-07-04","Sec 3","Larceny"
"2017-03-01","Sec 2","Homicide"
"2018-07-02","Sec 3","Burglary"
"2018-02-25","Sec 2","Larceny"
"2018-02-08","Sec 1","Larceny"
"2018-07-24","Sec 4","Burglary"
"2017-02-25","Sec 3","Larceny"
"2018-02-17","Sec 1","Aggravated Assault"
"2018-09-06","Sec 5","Larceny"
"2019-02-09","Sec 2","Aggravated Assault"
"2017-05-03","Sec 2","Larceny"
"2016-08-21","Sec 1","MVT"
"2018-07-13","Sec 1","Burglary"
"2018-05-05","Sec 3","Aggravated Assault"
"2017-03-10","Sec 1","Larceny"
"2016-02-06","Sec 1","Larceny"
"2016-09-08","Sec 2","Larceny"
"2019-08-26","Sec 4","Larceny"
"2018-12-14","Sec 1","Larceny"
"2017-10-31","Sec 2","Homicide"
"2016-08-08","Sec 3","Larceny"
"2018-07-02","Sec 3","Aggravated Assault"
"2019-11-25","Sec 1","MVT"
"2017-12-28","Sec 2","Burglary"
"2017-09-13","Sec 3","Robbery"
"2018-06-11","Sec 3","Homicide"
"2016-02-09","Sec 2","Robbery"
"2016-12-09","Sec 2","Burglary"
"2018-08-27","Sec 4","Larceny"
"2019-03-03","Sec 1","Larceny"
"2016-04-05","Sec 2","Larceny"
"2018-06-18","Sec 3","Aggravated Assault"
"2016-04-27","Sec 5","Larceny"
"2018-05-29","Sec 6","Larceny"
"2018-10-14","Sec 4","Burglary"
"2019-11-26","Sec 4","Aggravated Assault"
"2017-12-27","Sec 1","MVT"
"2016-01-14","Sec 2","Larceny"
"2016-07-26","Sec 3","Burglary"
"2018-04-15","Sec 6","Larceny"
"2017-05-22","Sec 4","Aggravated Assault"
"2017-11-30","Sec 2","Burglary"
"2016-08-16","Sec 5","Larceny"
"2018-09-29","Sec 1","Larceny"
"2016-06-07","Sec 4","Larceny"
"2016-08-06","Sec 1","Aggravated Assault"
"2018-09-12","Sec 2","Burglary"
"2019-12-27","Sec 4","Larceny"
"2017-04-04","Sec 6","Robbery"
"2018-02-11","Sec 2","Aggravated Assault"
"2019-04-01","Sec 5","MVT"
"2017-06-20","Sec 5","Larceny"
"2016-11-28","Sec 1","Burglary"
"2018-07-02","Sec 3","Burglary"
"2017-04-12","Sec 5","Burglary"
"2018-06-27","Sec 3","Robbery"
"2019-09-12","Sec 1","Aggravated Assault"
"2019-08-04","Sec 5","Aggravated Assault"
"2016-01-03","Sec 4","Larceny"
"2017-03-19","Sec 3","Burglary"
"2019-07-29","Sec 4","Larceny"
"2016-10-08","Sec 3","Larceny"
"2019-05-13","Sec 3","Larceny"
"2016-03-13","Sec 5","Aggravated Assault"
"2019-12-22","Sec 1","Larceny"
"2016-09-30","Sec 1","Robbery"
"2019-12-10","Sec 3","Larceny"
"2017-04-29","Sec 2","Larceny"
"2016-12-28","Sec 2","Larceny"
"2016-06-26","Sec 3","Robbery"
"2017-03-29","Sec 3","Burglary"
"2017-10-18","Sec 3","Robbery"
"2017-02-28","Sec 4","Larceny"
"2017-03-28","Sec 4","MVT"
"2016-04-01","Sec 2","Larceny"
"2017-11-30","Sec 3","Larceny"
"2019-10-12","Sec 2","Robbery"
"2017-06-25","Sec 5","Larceny"
"2018-05-08","Sec 1","Burglary"
"2018-12-09","Sec 4","Larceny"
"2019-06-20","Sec 3","Burglary"
"2019-04-01","Sec 1","Larceny"
"2017-07-24","Sec 4","Aggravated Assault"
"2019-03-24","Sec 1","MVT"
"2017-08-08","Sec 1","Aggravated Assault"
"2018-06-02","Sec 1","Larceny"
"2018-10-14","Sec 1","Larceny"
"2017-02-25","Sec 5","Aggravated Assault"
"2018-09-21","Sec 5","Burglary"
"2018-10-24","Sec 5","Larceny"
"2017-05-09","Sec 3","Larceny"
"2017-11-20","Sec 2","Larceny"
"2016-05-02","Sec 4","Robbery"
"2016-04-29","Sec 1","Larceny"
"2017-06-08","Sec 1","MVT"
"2019-11-16","Sec 1","Larceny"
"2019-03-25","Sec 2","Robbery"
"2017-04-10","Sec 2","Larceny"
"2016-11-02","Sec 3","Larceny"
"2018-12-13","Sec 3","Burglary"
"2019-03-29","Sec 1","Larceny"
"2019-10-01","Sec 3","Larceny"
"2016-12-24","Sec 4","MVT"
"2016-10-26","Sec 1","Larceny"
"2016-07-07","Sec 2","Aggravated Assault"
"2017-06-01","Sec 5","Burglary"
"2016-01-04","Sec 1","Robbery"
"2016-06-19","Sec 6","Larceny"
"2018-05-13","Sec 4","Larceny"
"2019-02-14","Sec 2","Larceny"
"2017-10-31","Sec 3","Aggravated Assault"
"2018-02-25","Sec 1","Robbery"
"2017-11-15","Sec 6","Larceny"
"2017-04-29","Sec 4","Aggravated Assault"
"2018-01-06","Sec 4","Robbery"
"2017-12-30","Sec 1","Robbery"
"2017-06-10","Sec 1","Robbery"
"2019-12-29","Sec 2","Burglary"
"2019-02-10","Sec 3","Larceny"
"2019-03-08","Sec 5","Robbery"
"2017-11-26","Sec 1","Larceny"
"2017-05-22","Sec 2","Robbery"
"2019-08-22","Sec 1","Larceny"
"2017-06-11","Sec 5","Homicide"
"2016-08-14","Sec 3","Larceny"
"2017-04-06","Sec 1","Larceny"
"2016-04-08","Sec 3","Larceny"
"2017-12-05","Sec 4","Aggravated Assault"
"2017-04-21","Sec 4","Larceny"
"2018-06-24","Sec 5","Larceny"
"2019-02-20","Sec 5","Larceny"
"2016-12-14","Sec 6","Larceny"
"2016-11-18","Sec 2","Larceny"
"2019-10-14","Sec 1","Burglary"
"2019-02-06","Sec 3","Aggravated Assault"
"2017-11-30","Sec 4","Burglary"
"2017-03-18","Sec 2","Aggravated Assault"
"2017-04-14","Sec 1","Larceny"
"2017-01-02","Sec 2","Larceny"
"2019-07-17","Sec 1","Larceny"
"2019-09-09","Sec 2","Larceny"
"2017-03-03","Sec 2","Aggravated Assault"
"2018-12-15","Sec 5","Larceny"
"2017-02-19","Sec 4","Robbery"
"2016-09-12","Sec 5","Burglary"
"2019-06-20","Sec 3","Aggravated Assault"
"2019-04-01","Sec 1","Homicide"
"2017-08-17","Sec 6","Larceny"
"2019-11-13","Sec 3","Larceny"
"2018-10-11","Sec 1","Aggravated Assault"
"2019-09-16","Sec 3","Larceny"
"2017-08-19","Sec 3","Larceny"
"2016-04-26","Sec 4","Larceny"
"2016-03-28","Sec 1","Larceny"
"2019-12-04","Sec 1","Burglary"
"2016-09-24","Sec 3","Robbery"
"2016-07-29","Sec 6","Robbery"
"2017-04-17","Sec 5","Burglary"
"2019-08-19","Sec 2","Aggravated Assault"
"2017-02-17","Sec 1","MVT"
"2019-04-09","Sec 3","Larceny"
"2017-06-04","Sec 5","Aggravated Assault"
"2019-06-25","Sec 3","Larceny"
"2018-03-23","Sec 4","Aggravated Assault"
"2016-05-12","Sec 4","Aggravated Assault"
"2017-05-25","Sec 2","Homicide"
"2017-12-14","Sec 1","Larceny"
"2019-02-05","Sec 6","Larceny"
"2018-03-10","Sec 5","MVT"
"2017-07-25","Sec 6","Burglary"
"2019-09-16","Sec 1","Burglary"
"2018-06-05","Sec 1","Larceny"
"2019-04-26","Sec 1","Aggravated Assault"
"2019-10-08","Sec 1","Larceny"
"2019-05-31","Sec 1","Homicide"
"2016-08-26","Sec 2","Aggravated Assault"
"2017-03-04","Sec 6","MVT"
"2017-11-10","Sec 5","Burglary"
"2018-04-15","Sec 1","Larceny"
"2018-11-18","Sec 4","Aggravated Assault"
"2019-05-15","Sec 2","Homicide"
"2019-08-15","Sec 5","Larceny"
"2016-05-16","Sec 3","Homicide"
"2016-05-16","Sec 1","Larceny"
"2017-04-29","Sec 5","Robbery"
"2018-12-10","Sec 3","Larceny"
"2017-02-09","Sec 6","Larceny"
"2018-08-15","Sec 3","Larceny"
"2017-05-23","Sec 3","Larceny"
"2017-06-06","Sec 1","MVT"
"2018-06-28","Sec 1","Burglary"
"2019-03-13","Sec 2","Larceny"
"2019-05-02","Sec 1","Burglary"
"2016-10-17","Sec 4","MVT"
"2017-04-25","Sec 2","Aggravated Assault"
"2016-01-06","Sec 1","Burglary"
"2017-04-30","Sec 4","Aggravated Assault"
"2016-01-26","Sec 4","Larceny"
"2017-01-16","Sec 5","Robbery"
"2016-04-24","Sec 4","Robbery"
"2019-09-30","Sec 3","Robbery"
"2018-07-16","Sec 3","Robbery"
"2016-10-14","Sec 4","Burglary"
"2016-11-17","Sec 2","Larceny"
"2017-03-10","Sec 5","Aggravated Assault"
"2017-05-20","Sec 3","MVT"
"2019-10-10","Sec 5","Larceny"
"2018-10-25","Sec 5","Larceny"
"2019-06-20","Sec 1","Larceny"
"2017-12-16","Sec 4","Larceny"
"2018-04-29","Sec 2","Larceny"
"2017-08-08","Sec 2","Aggravated Assault"
"2019-07-26","Sec 3","Robbery"
"2016-07-05","Sec 6","MVT"
"2018-04-17","Sec 1","Larceny"
"2018-03-22","Sec 3","Aggravated Assault"
"2019-06-08","Sec 4","Larceny"
"2017-02-01","Sec 1","Larceny"
"2019-12-05","Sec 3","Larceny"
"2018-04-29","Sec 1","Aggravated Assault"
"2019-04-29","Sec 1","Homicide"
"2016-12-23","Sec 2","Burglary"
"2017-12-01","Sec 2","Larceny"
"2018-10-17","Sec 3","Burglary"
"2016-01-03","Sec 6","Robbery"
"2017-01-20","Sec 3","Burglary"
"2018-12-29","Sec 3","Burglary"
"2016-08-07","Sec 2","Aggravated Assault"
"2019-01-03","Sec 3","Larceny"
"2016-02-17","Sec 3","Burglary"
"2019-01-26","Sec 1","Burglary"
"2019-05-08","Sec 2","Larceny"
"2019-12-21","Sec 3","Larceny"
"2016-10-09","Sec 2","MVT"
"2018-05-09","Sec 2","Larceny"
"2018-07-14","Sec 1","Larceny"
"2019-04-12","Sec 1","Homicide"
"2016-03-09","Sec 1","Larceny"
"2017-05-14","Sec 3","Larceny"
"2016-03-28","Sec 1","Larceny"
"2018-07-03","Sec 5","Larceny"
"2017-05-16","Sec 1","Larceny"
"2019-06-21","Sec 1","Aggravated Assault"
"2017-11-14","Sec 4","Larceny"
"2017-03-22","Sec 3","Larceny"
"2019-02-19","Sec 1","Aggravated Assault"
"2016-12-22","Sec 1","MVT"
"2018-07-08","Sec 2","Robbery"
"2019-04-19","Sec 1","Burglary"
"2018-02-17","Sec 3","MVT"
"2019-08-29","Sec 1","Larceny"
"2018-12-04","Sec 1","Larceny"
"2017-09-04","Sec 4","Burglary"
"2018-01-08","Sec 3","Burglary"
"2016-09-02","Sec 4","Aggravated Assault"
"2018-02-17","Sec 1","Homicide"
"2019-08-27","Sec 1","Larceny"
"2018-03-09","Sec 5","Larceny"
"2017-12-10","Sec 4","Larceny"
"2017-07-22","Sec 3","Robbery"
"2016-03-29","Sec 1","Burglary"
"2019-02-03","Sec 2","Aggravated Assault"
"2016-07-04","Sec 3","Burglary"
"2016-07-10","Sec 1","Burglary"
"2019-08-17","Sec 5","Burglary"
"2018-03-07","Sec 3","Larceny"
"2019-05-02","Sec 2","MVT"
"2016-11-09","Sec 3","Larceny"
"2018-01-12","Sec 3","Aggravated Assault"
"2017-11-08","Sec 3","Larceny"
"2016-09-10","Sec 1","Larceny"
"2018-03-05","Sec 2","Aggravated Assault"
"2016-02-15","Sec 2","Burglary"
"2019-07-07","Sec 1","Robbery"
"2016-11-13","Sec 3","Burglary"
"2017-12-28","Sec 2","Larceny"
"2016-07-25","Sec 1","Larceny"
"2016-05-12","Sec 3","Larceny"
"2018-04-27","Sec 5","MVT"
"2016-07-01","Sec 3","Larceny"
"2019-01-08","Sec 5","Burglary"
"2018-08-23","Sec 3","Larceny"
"2019-10-29","Sec 1","Aggravated Assault"
"2017-03-09","Sec 3","Larceny"
"2018-05-14","Sec 1","Burglary"
"2016-05-01","Sec 4","Robbery"
"2017-04-02","Sec 2","Larceny"
"2017-06-29","Sec 1","Larceny"
"2016-10-20","Sec 3","Burglary"
"2018-03-26","Sec 2","Burglary"
"2019-04-05","Sec 4","Larceny"
"2017-04-26","Sec 2","Burglary"
"2018-06-04","Sec 1","Larceny"
"2017-07-30","Sec 6","Aggravated Assault"
"2018-06-07","Sec 4","Larceny"
"2018-12-24","Sec 4","Robbery"
"2019-05-13","Sec 5","MVT"
"2017-10-22","Sec 2","Larceny"
"2019-07-12","Sec 2","Robbery"
"2016-10-07","Sec 4","Robbery"
"2019-07-20","Sec 1","MVT"
"2018-01-25","Sec 2","Homicide"
"2019-12-28","Sec 3","Homicide"
"2018-12-07","Sec 6","Robbery"
"2018-03-11","Sec 2","Larceny"
"2016-07-14","Sec 3","Burglary"
"2016-07-03","Sec 2","Robbery"
"2019-06-05","Sec 1","Burglary"
"2019-09-17","Sec 2","Larceny"
"2017-11-06","Sec 3","Larceny"
"2017-12-25","Sec 2","Burglary"
"2017-01-24","Sec 3","Larceny"
"2017-01-31","Sec 1","MVT"
"2019-12-06","Sec 3","Larceny"
"2017-12-17","Sec 3","Larceny"
"2017-06-07","Sec 5","Burglary"
"2017-04-02","Sec 4","Burglary"
"2017-05-03","Sec 1","Robbery"
"2019-09-30","Sec 1","Homicide"
"2019-06-21","Sec 1","Robbery"
"2016-04-19","Sec 3","Robbery"
"2016-06-18","Sec 2","Aggravated Assault"
"2018-06-27","Sec 4","Larceny"
"2019-01-11","Sec 3","Robbery"
"2017-03-13","Sec 5","Burglary"
"2018-02-15","Sec 2","Aggravated Assault"
"2019-03-27","Sec 1","Burglary"
"2019-04-13","Sec 1","Larceny"
"2019-12-30","Sec 4","Larceny"
"2017-03-25","Sec 4","MVT"
"2016-11-01","Sec 3","Larceny"
"2019-05-30","Sec 4","Larceny"
"2017-06-17","Sec 5","Aggravated Assault"
"2017-07-04","Sec 3","Aggravated Assault"
"2017-11-03","Sec 1","Larceny"
"2019-01-14","Sec 1","Aggravated Assault"
"2016-10-09","Sec 2","Homicide"
"2019-03-24","Sec 5","Homicide"
"2019-04-28","Sec 2","Larceny"
"2018-04-20","Sec 1","Burglary"
"2019-05-17","Sec 2","Larceny"
"2018-01-04","Sec 4","Robbery"
"2018-12-19","Sec 1","Larceny"
"2019-10-14","Sec 3","Homicide"
"2018-07-21","Sec 3","Robbery"
"2018-04-03","Sec 1","Larceny"
"2018-11-07","Sec 1","Homicide"
"2016-07-18","Sec 1","MVT"
"2016-08-01","Sec 1","Homicide"
"2019-01-06","Sec 1","Aggravated Assault"
"2019-10-01","Sec 3","Robbery"
"2019-12-29","Sec 1","Larceny"
"2019-12-28","Sec 5","Larceny"
"2019-07-21","Sec 2","Aggravated Assault"
"2019-01-13","Sec 1","Larceny"
"2016-12-13","Sec 3","Larceny"
"2018-10-07","Sec 2","Burglary"
"2018-03-20","Sec 1","Larceny"
"2017-03-15","Sec 2","Larceny"
"2017-10-23","Sec 1","Homicide"
"2019-08-30","Sec 2","Larceny"
"2016-08-10","Sec 1","Larceny"
"2017-05-15","Sec 3","Larceny"
"2016-04-15","Sec 3","Larceny"
"2017-02-27","Sec 4","Larceny"
"2018-09-25","Sec 3","Homicide"
"2019-01-15","Sec 1","Larceny"
"2017-11-16","Sec 1","Robbery"
"2018-04-29","Sec 1","Homicide"
"2018-10-03","Sec 2","Larceny"
"2017-08-24","Sec 1","Aggravated Assault"
"2016-11-23","Sec 3","Robbery"
"2019-06-08","Sec 6","Robbery"
"2018-08-19","Sec 1","Larceny"
"2017-03-04","Sec 3","Larceny"
"2019-09-08","Sec 4","Homicide"
"2019-12-23","Sec 5","Homicide"
"2016-04-21","Sec 5","Aggravated Assault"
"2016-12-24","Sec 6","Larceny"
"2017-09-13","Sec 4","Aggravated Assault"
"2017-06-01","Sec 4","Larceny"
"2019-01-09","Sec 4","Burglary"
"2017-11-26","Sec 1","Aggravated Assault"
"2016-07-17","Sec 1","Larceny"
"2018-05-08","Sec 4","Larceny"
"2018-03-20","Sec 4","Burglary"
"2019-06-10","Sec 1","Larceny"
"2017-07-01","Sec 4","Burglary"
"2017-04-18","Sec 3","Robbery"
"2017-03-31","Sec 4","Burglary"
"2017-05-26","Sec 2","Larceny"
"2019-01-30","Sec 4","Burglary"
"2018-05-15","Sec 1","Larceny"
"2016-08-12","Sec 5","Larceny"
"2017-05-23","Sec 1","Larceny"
"2018-09-20","Sec 2","Aggravated Assault"
"2019-08-09","Sec 1","Aggravated Assault"
"2017-03-12","Sec 1","Burglary"
"2017-06-24","Sec 1","Larceny"
"2019-11-11","Sec 3","Burglary"
"2016-08-05","Sec 3","Aggravated Assault"
"2017-03-21","Sec 2","Larceny"
"2018-10-08","Sec 4","Larceny"
"2019-07-15","Sec 3","Robbery"
"2019-09-12","Sec 5","Larceny"
"2018-11-08","Sec 1","Larceny"
"2017-12-28","Sec 3","Larceny"
"2016-08-08","Sec 3","Larceny"
"2016-08-31","Sec 3","Larceny"
"2017-11-05","Sec 5","Burglary"
"2018-09-09","Sec 1","Larceny"
"2019-10-30","Sec 1","Burglary"
"2017-04-12","Sec 1","Burglary"
"2017-09-11","Sec 1","Homicide"
"2019-01-06","Sec 3","Larceny"
"2017-02-16","Sec 1","Larceny"
"2017-04-20","Sec 1","Aggravated Assault"
"2017-09-14","Sec 1","Larceny"
"2019-04-25","Sec 2","Aggravated Assault"
"2018-12-08","Sec 1","Burglary"
"2018-11-11","Sec 1","Burglary"
"2019-11-10","Sec 5","Larceny"
"2019-05-07","Sec 3","Larceny"
"2016-06-20","Sec 2","Burglary"
"2019-04-03","Sec 5","Aggravated Assault"
"2016-12-16","Sec 3","Larceny"
"2016-11-06","Sec 2","Robbery"
"2019-12-19","Sec 1","Larceny"
"2018-02-15","Sec 3","Burglary"
"2018-05-08","Sec 2","Larceny"
"2018-06-03","Sec 1","Burglary"
"2017-08-24","Sec 1","MVT"
"2019-01-13","Sec 2","Larceny"
"2018-06-19","Sec 1","Aggravated Assault"
"2017-07-21","Sec 2","Robbery"
"2019-12-08","Sec 5","Aggravated Assault"
"2016-09-14","Sec 3","Robbery"
"2019-08-27","Sec 2","Larceny"
"2016-12-27","Sec 1","MVT"
"2016-10-07","Sec 2","Larceny"
"2019-12-27","Sec 5","Robbery"
"2017-02-09","Sec 3","Larceny"
"2016-08-16","Sec 3","Larceny"
"2017-01-26","Sec 4","Homicide"
"2018-10-11","Sec 3","Burglary"
"2018-05-09","Sec 3","Larceny"
"2019-06-21","Sec 2","Larceny"
"2018-08-03","Sec 1","Burglary"
"2019-08-30","Sec 1","Homicide"
"2018-11-14","Sec 1","Robbery"
"2016-03-11","Sec 1","MVT"
"2019-12-12","Sec 1","Larceny"
"2016-10-18","Sec 2","Larceny"
"2019-04-14","Sec 4","Larceny"
"2017-01-09","Sec 1","Larceny"
"2016-03-01","Sec 2","Larceny"
"2019-07-22","Sec 3","Larceny"
"2016-10-07","Sec 4","Robbery"
"2017-07-27","Sec 5","Larceny"
"2016-09-20","Sec 2","Larceny"
"2018-09-03","Sec 4","Burglary"
"2017-05-16","Sec 3","Robbery"
"2019-07-17","Sec 4","MVT"
"2017-10-18","Sec 2","MVT"
"2019-02-13","Sec 6","Aggravated Assault"
"2016-10-06","Sec 3","Larceny"
"2019-03-10","Sec 2","Larceny"
"2019-01-07","Sec 2","Larceny"
"2016-10-18","Sec 1","Burglary"
"2016-01-03","Sec 6","Aggravated Assault"
"2018-04-26","Sec 6","Robbery"
"2019-06-14","Sec 1","Larceny"
"2019-11-20","Sec 3","Homicide"
"2017-06-10","Sec 1","Larceny"
"2016-08-22","Sec 3","Robbery"
"2018-10-18","Sec 1","Larceny"
"2017-02-10","Sec 1","Larceny"
"2019-07-16","Sec 1","Homicide"
"2016-12-10","Sec 4","Burglary"
"2016-04-06","Sec 1","MVT"
"2019-08-09","Sec 2","MVT"
"2017-06-22","Sec 1","Larceny"
"2018-03-14","Sec 1","MVT"
"2017-09-01","Sec 1","Robbery"
"2016-02-18","Sec 2","Robbery"
"2017-12-23","Sec 2","Larceny"
"2016-05-24","Sec 2","Aggravated Assault"
"2016-03-20","Sec 5","Larceny"
"2017-05-30","Sec 1","Robbery"
"2018-10-09","Sec 1","Larceny"
"2016-01-31","Sec 4","Larceny"
"2017-02-07","Sec 1","Aggravated Assault"
"2016-05-12","Sec 4","Larceny"
"2019-05-04","Sec 1","MVT"
"2018-07-20","Sec 1","Burglary"
"2019-06-22","Sec 1","Aggravated Assault"
"2018-07-28","Sec 3","Homicide"
"2016-04-15","Sec 2","MVT"
"2017-05-15","Sec 1","Larceny"
"2018-01-22","Sec 4","Larceny"
"2018-04-07","Sec 5","Burglary"
"2016-03-11","Sec 1","MVT"
"2017-06-01","Sec 2","Burglary"
"2016-10-16","Sec 2","Larceny"
"2016-06-03","Sec 2","Larceny"
"2017-04-11","Sec 6","Aggravated Assault"
"2018-02-17","Sec 1","Aggravated Assault"
"2018-08-01","Sec 1","Larceny"
"2019-12-04","Sec 3","Aggravated Assault"
"2019-10-31","Sec 4","Larceny"
"2019-11-14","Sec 1","Larceny"
"2019-08-19","Sec 4","Aggravated Assault"
"2018-11-05","Sec 3","Homicide"
"2016-07-26","Sec 3","Robbery"
"2016-02-27","Sec 5","Aggravated Assault"
"2016-02-24","Sec 1","MVT"
"2016-12-10","Sec 3","Robbery"
"2018-07-18","Sec 3","Larceny"
"2018-04-16","Sec 1","Burglary"
"2016-02-04","Sec 1","Robbery"
"2016-07-17","Sec 4","Aggravated Assault"
"2018-01-24","Sec 2","MVT"
"2018-12-08","Sec 3","MVT"
"2018-09-13","Sec 4","Burglary"
"2019-02-16","Sec 4","Aggravated Assault"
"2017-02-07","Sec 2","Aggravated Assault"
"2018-08-14","Sec 2","MVT"
"2016-04-09","Sec 2","MVT"
"2019-12-08","Sec 2","Burglary"
"2017-06-06","Sec 2","Larceny"
"2018-07-15","Sec 2","Burglary"
"2017-05-21","Sec 1","Larceny"
"2017-11-10","Sec 6","Larceny"
"2019-09-23","Sec 6","Aggravated Assault"
